"bus_rest.business_id" "bus_rest.stars" "bus_rest.longitude" "bus_rest.latitude" "bus_rest.state" "bus_rest.attributes.RestaurantsTakeOut" "bus_rest.attributes.RestaurantsReservations" "bus_rest.attributes.WiFi" "bus_rest.attributes.Caters"
"2" "duHFBe87uNSXImQmvBh87Q" 4.5 -112.0388474 33.5059283 "AZ" TRUE FALSE "no" TRUE
"3" "SDMRxmcKPNt1AHPBKqO64Q" 2 -80.7146829 35.135196 "NC" TRUE FALSE "free" FALSE
"5" "HmI9nhgOkrXlUr6KZGZZew" 3 -79.9481126 40.4613503 "PA" TRUE FALSE "no" FALSE
"7" "TXiEgINSZ75d3EtvLvkc4Q" 3 -89.307157 43.128034 "WI" TRUE TRUE "no" FALSE
"8" "KW4y7uDGjVfU3ClkEjIGhg" 3 -79.0901353 43.8343514 "ON" TRUE TRUE "no" FALSE
"9" "reWc1g65PNZnKz_Ub9QKOQ" 2.5 -79.4293430602 43.8419930049 "ON" TRUE TRUE "free" FALSE
"11" "PV9CdNFDOX4_zWm3Sy3W8g" 3 -89.519217 43.097806 "WI" TRUE TRUE "free" TRUE
"13" "HRFJlSAP_EBU_MpPPmpUDQ" 2.5 -111.8430762 33.3350578 "AZ" TRUE FALSE "no" FALSE
"16" "Wf5C8Amv_SlhoYE3_W66WQ" 2 -79.4907499 43.7635097 "ON" TRUE TRUE "no" FALSE
"17" "58APdML-PG_OD4El2ePTvw" 4 -73.5552000962 45.4994089298 "QC" TRUE FALSE "free" FALSE
"20" "LDMCrFlGIFUN6L-FEFgzWg" 3 -115.1167987 36.1962026 "NV" TRUE FALSE "no" TRUE
"23" "01xXe2m_z048W5gcBFpoJA" 3.5 -111.986370289 33.4780429336 "AZ" TRUE FALSE "no" FALSE
"24" "dEmNOTm8Rmm9JYZdGX_Lhw" 4 -73.5810084 45.497017 "QC" TRUE TRUE "free" TRUE
"32" "wsyNO9Ac4gqGYTBfNeM1VA" 4.5 -112.1524877 33.5958491 "AZ" TRUE TRUE "no" TRUE
"34" "YTqtM2WFhcMZGeAGA08Cfg" 4.5 -115.135949 36.159363 "NV" TRUE TRUE "no" TRUE
"36" "Oto60yDwk1z72WmfWEYrjg" 3 -115.1739932 36.0121912 "NV" TRUE TRUE "no" FALSE
"37" "5GJ60TyviQnyg2257CAGuA" 4.5 -80.8040482 35.2477994 "NC" TRUE FALSE "free" TRUE
"38" "wJY74R0zAgjxvBf-d4gm9g" 3.5 -111.9274506 33.4987215 "AZ" TRUE TRUE "free" FALSE
"39" "iMoFE2g4kDG4FfKLJvk3Jw" 4 -79.4145441055 43.7770435193 "ON" TRUE FALSE "no" FALSE
"40" "7HFRdxVttyY9GiMpywhhYw" 3 -81.529281 41.342763 "OH" TRUE FALSE "free" TRUE
"43" "oMcKvfNGX2HleFxYg1VGqg" 2 -79.3904932 43.6456871 "ON" TRUE TRUE "free" TRUE
"45" "ZPVhjltJcQ-YnaoV-h-FeA" 4 -80.062986 40.394199 "PA" TRUE TRUE "no" TRUE
"52" "kLw_FmSiEqYH-MtFhDIUFQ" 3.5 -79.3864714 43.647499 "ON" TRUE TRUE "no" TRUE
"53" "uYYXLcDNQhgUIQcfauaKrw" 3 -80.0182093 40.5896807 "PA" TRUE FALSE "no" FALSE
"54" "KXl2k4LkrmnHRTTAY-TVDQ" 3.5 -79.660979 43.615601 "ON" TRUE TRUE "no" TRUE
"58" "8Rdz0VPY8CuT2GQZ7ho2sw" 4.5 -73.638895 45.4670935 "QC" TRUE TRUE "no" TRUE
"59" "DAMTCTsSeACXbkSABkhZqQ" 3.5 -73.5729484 45.5090463 "QC" TRUE FALSE "no" FALSE
"60" "Pawavw9U8rjxWVPU-RB7LA" 3.5 -81.5659822 41.5014129 "OH" TRUE FALSE "no" FALSE
"62" "aP2Ma-Wx2lydppntCGhNSg" 3.5 -111.740792058 33.3778537807 "AZ" TRUE FALSE "no" TRUE
"64" "RzVHK8Jfcy8RvXjn_z3OBw" 4 -81.532933 41.313373 "OH" TRUE FALSE "no" FALSE
"68" "er56AAp9r8mEJBAhaG02Xg" 4.5 -80.7956879586 35.1999220757 "NC" TRUE TRUE "free" FALSE
"70" "Uyh4JZ0T3nbpBWzm1xrABw" 3.5 -79.4150747 43.6603391 "ON" TRUE TRUE "no" TRUE
"72" "eOYgXjIdGhUgO27HXkKzmQ" 3 9.0690642136 48.7570711615 "BW" TRUE TRUE "free" TRUE
"73" "XFQbescZxNRAb2U-NwdLlg" 3.5 -111.929119 33.5826712 "AZ" TRUE TRUE "no" FALSE
"74" "1CP8aJa8ILlfM5deroar0Q" 3 -115.2098938 36.1002514 "NV" TRUE FALSE "no" TRUE
"78" "sQ6DZZLLJRfwUr0eDWKDDg" 4 -111.9117114 33.3211976 "AZ" TRUE FALSE "no" TRUE
"79" "KBDRpZkCVJ5N_GSMIk4kPg" 4 -79.4837886 44.0735719 "ON" TRUE FALSE "no" FALSE
"83" "TYGVaav4hWZioQlk9Ig78A" 4.5 -115.1598044 36.1510984 "NV" TRUE FALSE "no" TRUE
